X,Y,Depth_km
-124.1448519,42.70751605,-20
-124.1822772,43.03569876,-20
-124.2017433,43.33302531,-20
-124.2122393,43.70277909,-20
-124.2199299,43.90244191,-20
-124.2177916,44.11403327,-20
-124.2207881,44.52763743,-20
-124.2257365,45.08428986,-20
-124.2324695,45.71450842,-20
-124.2413074,45.99914297,-20
-124.2432637,46.31540688,-20
-124.2583556,46.54303675,-20
-124.2896168,46.67477858,-20
-124.3427882,46.86674274,-20
-124.3848073,46.96636015,-20
-124.4628823,47.17518699,-20
-124.6220296,47.43747582,-20
-124.7721756,47.68158627,-20
-124.9099042,47.91139493,-20
-125.0895689,48.20265292,-20
-125.2068705,48.38199111,-20
-125.299522,48.48466684,-20
-125.4836909,48.63585561,-20
-125.8482998,48.87028653,-20
-126.4557279,49.24423226,-20
-126.7502055,49.43641851,-20
-127.0047421,49.60382672,-20
-127.28071,49.80346034,-20
-127.4884531,49.96132314,-20
-127.4399233,50.21664114,-25
-127.0746765,49.89099403,-25
-126.8190857,49.69598028,-25
-126.5134387,49.48179357,-25
-126.1991643,49.30257817,-25
-125.8430881,49.10620319,-25
-125.5214033,48.92170477,-25
-125.2042895,48.74130214,-25
-124.9972205,48.61030611,-25
-124.8891987,48.52412398,-25
-124.7858967,48.4077472,-25
-124.6656838,48.18214363,-25
-124.4814199,47.89315552,-25
-124.3454014,47.70808077,-25
-124.1882446,47.46709862,-25
-124.0563303,47.25427836,-25
-123.9735271,47.01355117,-25
-123.9504936,46.82403184,-25
-123.9252746,46.56350377,-25
-123.9164861,46.39651304,-25
-123.9210815,46.23980285,-25
-123.9466908,45.92369191,-25
-123.9527218,45.61504502,-25
-123.9661894,45.3295323,-25
-123.9690825,45.0926661,-25
-123.9658921,44.77713224,-25
-123.9522125,44.31494015,-25
-123.9542218,43.9538043,-25
-123.9489256,43.66513275,-25
-123.9346341,43.40964164,-25
-123.9099045,43.11045439,-25
-123.8734374,42.75607292,-25
-123.8304483,42.43739645,-25
-123.7813351,42.08332747,-25
-123.7117678,41.74726806,-25
-123.6067114,41.36649201,-25
-123.5630821,41.24221063,-25
-123.472283,41.11443081,-25
-123.346055,40.97371136,-25
-123.3013297,40.87462959,-25
-123.2855141,40.7333996,-25
-123.2873752,40.61577732,-25
-123.3116749,40.51378117,-25
-123.3718012,40.38706485,-25
-123.4777432,40.27355957,-25
-123.7793438,40.02256942,-25
-123.5082015,39.90936157,-30
-123.3122904,40.10430287,-30
-123.2038427,40.25351601,-30
-123.1265158,40.40884081,-30
-123.1068557,40.50281835,-30
-123.1036259,40.63508731,-30
-123.1126291,40.74662493,-30
-123.1434057,40.85499607,-30
-123.1910506,40.9697875,-30
-123.2742929,41.102376,-30
-123.3661436,41.24015871,-30
-123.425451,41.35205914,-30
-123.4646495,41.50563918,-30
-123.4915868,41.64973432,-30
-123.5227856,42.01548378,-30
-123.558791,42.37813625,-30
-123.5984935,42.78586418,-30
-123.6243221,43.07943957,-30
-123.6490253,43.3280125,-30
-123.6653355,43.66370188,-30
-123.6758341,43.89292306,-30
-123.6853353,44.32231507,-30
-123.6859452,44.65411341,-30
-123.7011109,44.97419596,-30
-123.6953852,45.26488207,-30
-123.7047555,45.75141972,-30
-123.7001292,45.93264056,-30
-123.6822963,46.16156729,-30
-123.6521044,46.3352742,-30
-123.5705427,46.52659933,-30
-123.5443524,46.67917302,-30
-123.5342413,46.83604044,-30
-123.5493912,46.96440592,-30
-123.6269058,47.24083855,-30
-123.6923898,47.39840583,-30
-123.7640713,47.51508848,-30
-123.8468777,47.64195499,-30
-123.986142,47.83561144,-30
-124.1343006,48.041181,-30
-124.237877,48.18809881,-30
-124.4701641,48.46709848,-30
-124.6413463,48.62742182,-30
-124.774581,48.74068354,-30
-124.9483499,48.84833236,-30
-125.2148552,48.99637613,-30
-125.4591255,49.1228866,-30
-125.6850126,49.24197013,-30
-125.9244173,49.36248055,-30
-126.1519822,49.49536349,-30
-126.3388981,49.60271783,-30
-126.5504495,49.75580091,-30
-126.6515631,49.8362226,-30
-126.8048748,49.96690846,-30
-126.9289609,50.07915853,-30
-127.0380397,50.20747747,-30
-127.1803276,50.36695178,-30
-126.8412434,50.55837099,-35
-126.6137273,50.27503612,-35
-126.4589555,50.09673128,-35
-126.2696959,49.92423284,-35
-126.1007794,49.78114563,-35
-125.8368822,49.59033926,-35
-125.5611611,49.42643099,-35
-125.049331,49.15070182,-35
-124.8737003,49.05296815,-35
-124.6368081,48.91725071,-35
-124.4222441,48.79806658,-35
-124.176113,48.62024774,-35
-123.9206052,48.39662242,-35
-123.7847216,48.22996377,-35
-123.6762863,48.06580692,-35
-123.5474964,47.87837624,-35
-123.4514323,47.70752198,-35
-123.3947059,47.59124437,-35
-123.3500606,47.50491348,-35
-123.3131732,47.41835057,-35
-123.2615692,47.26915696,-35
-123.2221022,47.09429918,-35
-123.2089145,46.92134696,-35
-123.2210294,46.75844083,-35
-123.2518675,46.62409333,-35
-123.3115203,46.48275381,-35
-123.3698734,46.35276951,-35
-123.4017758,46.22577763,-35
-123.4102995,46.09538666,-35
-123.4326176,45.82500592,-35
-123.4437783,45.63098022,-35
-123.4574461,45.34634987,-35
-123.4647036,45.0230519,-35
-123.4731304,44.71123334,-35
-123.4668811,44.43886675,-35
-123.4669645,44.23130515,-35
-123.4623775,44.08402771,-35
-123.4542558,43.80503718,-35
-123.4528209,43.58596542,-35
-123.4430949,43.32733245,-35
-123.4234065,42.96287032,-35
-123.40749,42.66801731,-35
-123.3742435,42.15914656,-35
-123.3555924,41.90339514,-35
-123.319485,41.5284168,-35
-123.2867626,41.3799608,-35
-123.2249057,41.24663495,-35
-123.1369405,41.11871452,-35
-123.0561172,40.98613353,-35
-122.9903783,40.82882081,-35
-122.9637892,40.69689401,-35
-122.9636501,40.55631349,-35
-122.988698,40.42173326,-35
-123.0218904,40.29076604,-35
-123.1092452,40.11550408,-35
-123.1702819,40.00527665,-35
-123.2718948,39.85744352,-35
-123.299507,39.82587258,-35
-123.1371051,39.75377532,-40
-122.9837714,40.02675815,-40
-122.8841177,40.24959739,-40
-122.8350395,40.41740509,-40
-122.8158434,40.55547926,-40
-122.8103914,40.68109249,-40
-122.8250746,40.79617026,-40
-122.8437829,40.85993944,-40
-122.8933058,40.9994499,-40
-122.976082,41.1305926,-40
-123.0607691,41.24051173,-40
-123.1244715,41.34457817,-40
-123.1535688,41.47821212,-40
